last_updated,latitude,longitude,last_updated_epoch,temperature_celsius,temperature_fahrenheit,wind_mph,wind_kph,wind_degree,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feels_like_celsius,feels_like_fahrenheit,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,moon_illumination,temp_c_from_f,wind_kph_from_mph,year,month,week
2024-05-19,19.663576642335766,20.271626694473408,1715967773.3055265,24.540667361835244,76.1727841501564,8.743587069864443,14.077893639207508,166.05005213764338,1012.9885297184567,29.913138686131386,0.13281543274244004,0.0050782064650677795,60.38790406673618,35.652763295099064,26.427632950990613,79.56392075078207,9.846193952033367,5.830031282586027,4.839416058394161,13.478102189781023,21.695411887382694,503.17413972888426,60.42033368091762,10.401251303441084,6.757247132429614,17.307194994786233,32.49259645464025,1.3753910323253389,1.8425443169968718,65.39520333680917,24.540435638975783,14.071404415015643,2024.0,5.0,20.0
2024-05-26,19.202871794871793,21.65497435897436,1716468726.5934067,25.227985347985346,77.41032967032967,8.97846153846154,14.452600732600732,166.792673992674,1013.23663003663,29.91983882783883,0.16824175824175824,0.006454212454212455,60.21465201465202,38.0,27.15435897435897,80.86783882783884,9.854798534798535,5.827106227106227,5.1501831501831505,13.91025641025641,22.39164835164835,552.5624168498168,60.58886446886447,10.289230769230768,6.978461538461539,18.084981684981685,34.12864468864469,1.4234432234432235,1.9018315018315017,95.46593406593406,25.227960927960925,14.449397292307692,2024.0,5.0,21.0
2024-06-02,19.189816715542523,21.654699413489734,1717073084.164223,25.758651026392965,78.36568914956013,8.960410557184751,14.42184750733138,180.7316715542522,1013.057917888563,29.914560117302052,0.16799120234604106,0.006422287390029325,58.6950146627566,37.31964809384164,27.6233137829912,81.71356304985338,9.800953079178885,5.813049853372434,5.269794721407624,14.19941348973607,22.85659824046921,510.35894501466277,61.717668621700874,9.183211143695015,6.087756598240469,17.625,33.25197947214076,1.346774193548387,1.7536656891495601,57.740469208211145,25.758716194200066,14.420347126099708,2024.0,5.285923753665689,22.0
2024-06-09,19.235730007336755,21.593286867204693,1717677709.1709464,26.435876742479824,79.58650036683785,8.679236977256052,13.97285399853265,184.3426265590609,1012.4005869405722,29.89516507703595,0.12424798239178282,0.004732208363903155,57.72193690388848,35.54805575935436,28.321790168745412,82.97358767424798,9.906456346294938,5.878209831254585,5.424798239178283,13.748862802641233,22.127366104181952,500.1059427732942,63.37542186353632,9.771019809244313,6.58415260454879,18.829126925898752,33.246588407923696,1.371973587674248,1.8187820983125458,5.451944240645634,26.436944648243255,13.967843236977258,2024.0,6.0,23.0
2024-06-16,19.152750548646672,21.840848573518652,1718282443.8917336,25.88500365764448,78.59348939283102,8.62545720555962,13.887051938551572,181.1016825164594,1011.7081199707388,29.874857351865398,0.1632699341623994,0.0062618873445501105,59.06291148500366,38.809070958302854,27.575274323335773,81.62743233357718,9.807461594732992,5.826627651792246,5.324067300658376,13.154425749817117,21.17220190197513,561.9002172640819,61.2605705925384,9.61185076810534,7.347915142648135,17.7218727139722,31.346086320409654,1.3899049012435991,1.8134601316752013,38.51426481346013,25.885271884906118,13.881293299195319,2024.0,6.0,24.0
2024-06-23,19.081058911260254,21.82378821774795,1718887882.5503356,26.833035048471288,80.30253542132736,10.34586129753915,16.655555555555555,174.65473527218495,1011.482475764355,29.868434004474274,0.18504847129008203,0.0071439224459358686,58.795674869500374,38.17524235645041,28.539373601789713,83.36502609992543,9.834228187919464,5.832214765100671,5.6062639821029085,14.646607009694257,23.575540641312454,473.73571812080536,64.16979865771812,8.56517524235645,6.382401193139447,15.367188665175243,29.373601789709173,1.3497390007457122,1.7912005965697242,91.36912751677852,26.834741900737427,16.650008420581656,2024.0,6.0,25.0
2024-06-30,19.194925705794947,21.929947994056462,1719492495.2451708,26.805349182763745,80.25074294205052,8.907875185735513,14.340118870728082,171.66047548291235,1011.8358098068351,29.878588410104012,0.15823179791976225,0.005980683506686479,59.580237741456166,37.190193164933135,28.613447251114412,83.49710252600298,9.898365527488856,5.8751857355126305,5.666419019316494,13.50029717682021,21.73112927191679,469.67882615156014,65.66367013372957,8.611292719167905,6.481277860326894,15.40074294205052,27.983283803863298,1.3335809806835066,1.763744427934621,69.15750371471026,26.80596830113918,14.33579985141159,2024.0,6.0,26.0
2024-07-07,19.162908424908423,21.999860805860806,1720093889.010989,26.274505494505494,79.29692307692308,8.924322344322345,14.368571428571428,185.7882783882784,1010.6593406593406,29.8441684981685,0.15957509157509156,0.006117216117216117,60.6996336996337,39.498168498168496,27.953113553113553,82.3101098901099,9.833772893772894,5.8227106227106225,5.5516483516483515,14.077875457875457,22.6585347985348,477.89780146520144,62.99054945054945,8.07018315018315,6.0698901098901095,16.811721611721612,30.73201465201465,1.336996336996337,1.7443223443223443,9.128205128205128,26.276068376068377,14.362268921611722,2024.0,7.0,27.0
2024-07-14,19.073698630136988,22.067412480974124,1720691520.5479453,27.105555555555554,80.79048706240486,8.497945205479452,13.679756468797565,179.14307458143074,1012.3051750380517,29.892480974124812,0.16635464231354644,0.006286149162861491,59.71765601217656,37.90943683409437,28.865372907153727,83.95175038051751,9.76628614916286,5.789193302891933,5.769406392694064,13.18523592085236,21.21818873668189,481.1626324200913,65.57397260273973,8.80007610350076,6.187975646879757,17.624429223744293,31.15068493150685,1.3439878234398783,1.799847792998478,24.17503805175038,27.105826145780483,13.676083136986302,2024.0,7.0,28.0
2024-07-21,18.855530110262933,22.79514843087362,1721260840.4580152,27.23206106870229,81.02111959287531,8.431297709923664,13.573621713316369,183.51823579304497,1012.1772688719253,29.88883799830365,0.17082273112807464,0.006463104325699746,60.36726039016116,39.80746395250212,29.031043256997453,84.24970313825276,9.760644614079728,5.786259541984733,5.821882951653944,12.99635284139101,20.91916878710772,408.7601357082273,66.74843087362171,7.6284139100932995,-2.9106870229007633,14.497455470737913,25.34698897370653,1.2985581000848176,1.6530958439355385,80.06446140797286,27.233955329375174,13.56882465648855,2024.0,7.0,29.0
